Angstroms, e1, e2, n, k, Absorption 
8900, -3.432380e+01, 3.440251e+00, 2.932373e-01, 5.865986e+00, 8.223695e-03 
9000, -3.538267e+01, 3.551283e+00, 2.981365e-01, 5.955800e+00, 8.394066e-03 
9100, -3.644153e+01, 3.662314e+00, 3.029571e-01, 6.044280e+00, 8.560664e-03 
9200, -3.750040e+01, 3.773346e+00, 3.077026e-01, 6.131483e+00, 8.723613e-03 
9300, -3.855927e+01, 3.884378e+00, 3.123764e-01, 6.217463e+00, 8.883032e-03 
9400, -3.961813e+01, 3.995410e+00, 3.169818e-01, 6.302270e+00, 9.039034e-03 
9500, -4.067700e+01, 4.106441e+00, 3.215215e-01, 6.385951e+00, 9.191728e-03 
9600, -4.173586e+01, 4.217473e+00, 3.259983e-01, 6.468550e+00, 9.341218e-03 
9700, -4.279473e+01, 4.328505e+00, 3.304148e-01, 6.550107e+00, 9.487604e-03 
9800, -4.385359e+01, 4.439536e+00, 3.347733e-01, 6.630661e+00, 9.630981e-03 
9900, -4.491246e+01, 4.550568e+00, 3.390760e-01, 6.710248e+00, 9.771442e-03 
10000, -4.597133e+01, 4.661600e+00, 3.433250e-01, 6.788903e+00, 9.909075e-03 
