Angstroms, e1, e2, n, k, Absorption 
8900, 1.312682e+01, 1.227505e-02, 3.623096e+00, 1.694000e-03, 2.946359e-05 
9000, 1.309006e+01, 1.096130e-02, 3.618019e+00, 1.514822e-03, 2.601794e-05 
9100, 1.305472e+01, 9.751971e-03, 3.613132e+00, 1.349518e-03, 2.289311e-05 
9200, 1.302071e+01, 8.638751e-03, 3.608423e+00, 1.197026e-03, 2.005938e-05 
9300, 1.298800e+01, 7.618935e-03, 3.603887e+00, 1.057044e-03, 1.750114e-05 
9400, 1.295642e+01, 6.681643e-03, 3.599504e+00, 9.281339e-04, 1.518486e-05 
9500, 1.292610e+01, 5.832828e-03, 3.595288e+00, 8.111766e-04, 1.311630e-05 
9600, 1.289678e+01, 5.055629e-03, 3.591209e+00, 7.038896e-04, 1.125020e-05 
9700, 1.286852e+01, 4.353818e-03, 3.587272e+00, 6.068424e-04, 9.588600e-06 
9800, 1.284130e+01, 3.723428e-03, 3.583476e+00, 5.195274e-04, 8.116596e-06 
9900, 1.281498e+01, 3.155052e-03, 3.579801e+00, 4.406742e-04, 6.808143e-06 
10000, 1.278952e+01, 2.646028e-03, 3.576244e+00, 3.699451e-04, 5.652649e-06 
