Angstroms, e1, e2, n, k, Absorption 
3090, 4.476487e+00, 1.130776e+01, 2.884275e+00, 1.960244e+00, 7.519896e-02 
3100, 4.566334e+00, 1.118808e+01, 2.885342e+00, 1.938779e+00, 7.420247e-02 
3110, 4.648531e+00, 1.107015e+01, 2.885748e+00, 1.918074e+00, 7.322248e-02 
3120, 4.723587e+00, 1.095431e+01, 2.885561e+00, 1.898125e+00, 7.226100e-02 
3130, 4.791998e+00, 1.084083e+01, 2.884849e+00, 1.878925e+00, 7.131964e-02 
3140, 4.854245e+00, 1.072993e+01, 2.883672e+00, 1.860462e+00, 7.039965e-02 
3150, 4.910793e+00, 1.062178e+01, 2.882087e+00, 1.842724e+00, 6.950197e-02 
3160, 4.962083e+00, 1.051651e+01, 2.880145e+00, 1.825692e+00, 6.862725e-02 
3170, 5.008536e+00, 1.041421e+01, 2.877893e+00, 1.809346e+00, 6.777589e-02 
3180, 5.050548e+00, 1.031494e+01, 2.875377e+00, 1.793668e+00, 6.694809e-02 
3190, 5.088491e+00, 1.021873e+01, 2.872634e+00, 1.778634e+00, 6.614388e-02 
3200, 5.122713e+00, 1.012558e+01, 2.869702e+00, 1.764221e+00, 6.536311e-02 
3210, 5.153537e+00, 1.003548e+01, 2.866612e+00, 1.750407e+00, 6.460555e-02 
3220, 5.181265e+00, 9.948391e+00, 2.863393e+00, 1.737168e+00, 6.387082e-02 
3230, 5.206176e+00, 9.864279e+00, 2.860072e+00, 1.724481e+00, 6.315849e-02 
3240, 5.228526e+00, 9.783084e+00, 2.856672e+00, 1.712322e+00, 6.246804e-02 
3250, 5.248554e+00, 9.704740e+00, 2.853213e+00, 1.700668e+00, 6.179893e-02 
3260, 5.266477e+00, 9.629175e+00, 2.849716e+00, 1.689498e+00, 6.115054e-02 
3270, 5.282494e+00, 9.556312e+00, 2.846194e+00, 1.678788e+00, 6.052226e-02 
3280, 5.296790e+00, 9.486070e+00, 2.842664e+00, 1.668517e+00, 5.991344e-02 
3290, 5.309532e+00, 9.418365e+00, 2.839138e+00, 1.658666e+00, 5.932343e-02 
3300, 5.320874e+00, 9.353111e+00, 2.835627e+00, 1.649214e+00, 5.875156e-02 
3310, 5.330953e+00, 9.290223e+00, 2.832140e+00, 1.640142e+00, 5.819718e-02 
3320, 5.339899e+00, 9.229615e+00, 2.828686e+00, 1.631431e+00, 5.765965e-02 
3330, 5.347827e+00, 9.171200e+00, 2.825273e+00, 1.623065e+00, 5.713830e-02 
